,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,id,Shares Outstanding,Market Capital
0,1980-12-12 00:00:00-05:00,0.09883446991443634,0.09926416115370361,0.09883446991443634,0.09883446991443634,469033600,0.0,0.0,1,5575330000.0,551034785.1480544
1,1980-12-15 00:00:00-05:00,0.09410791985762396,0.09410791985762396,0.09367822855710983,0.09367822855710983,175884800,0.0,0.0,1,5575330000.0,522287038.02131116
2,1980-12-16 00:00:00-05:00,0.08723212343030957,0.08723212343030957,0.08680243790149689,0.08680243790149689,105728000,0.0,0.0,1,5575330000.0,483952236.10535264
3,1980-12-17 00:00:00-05:00,0.08895084261894226,0.08938053371889981,0.08895084261894226,0.08895084261894226,86441600,0.0,0.0,1,5575330000.0,495930301.37866735
4,1980-12-18 00:00:00-05:00,0.09152977168560028,0.09195945716625491,0.09152977168560028,0.09152977168560028,73449600,0.0,0.0,1,5575330000.0,510308681.9718778
5,1980-12-19 00:00:00-05:00,0.09711571782827377,0.09754540907371882,0.09711571782827377,0.09711571782827377,48630400,0.0,0.0,1,5575330000.0,541452175.0795096
6,1980-12-22 00:00:00-05:00,0.10184227675199509,0.10227273670678191,0.10184227675199509,0.10184227675199509,37363200,0.0,0.0,1,5575330000.0,567804300.8437008
7,1980-12-23 00:00:00-05:00,0.10614001750946045,0.10656970904678516,0.10614001750946045,0.10614001750946045,46950400,0.0,0.0,1,5575330000.0,591765623.8210201
8,1980-12-24 00:00:00-05:00,0.1117258369922638,0.1121555280062388,0.1117258369922638,0.1117258369922638,48003200,0.0,0.0,1,5575330000.0,622908410.7580781
9,1980-12-26 00:00:00-05:00,0.12203910946846008,0.12246880044084406,0.12203910946846008,0.12203910946846008,55574400,0.0,0.0,1,5575330000.0,680408308.1927896
10,1980-12-29 00:00:00-05:00,0.12375794351100922,0.12418763476680683,0.12375794351100922,0.12375794351100922,93161600,0.0,0.0,1,5575330000.0,689991375.195235
